Phecode 	 Gwas Source 	 Gwas ID 	 Description	 GWAS URL  	.Method 	 Tuning Parameter 	 # SNPS  	 P-Value 	 OR  	 OR_CI  	 Psuedo-R2 	 Brier Score 	 AUC Estimate 	 AUC 95% CI 	 Hosmer-Lemeshow P  	  Hosmer-Lemeshow Chi-square 	 Odds Ratio Estimate 	 Odds Ratio ORCI1  	 Odds Ratio ORCI2 	 PRSweb 	 Nominal Significance 	 WARNING_REVERSED_EFFECT 	 Prswebprefix 	 Reference URl  
174.1	UKB GWAS (PHESANT)	20001_1002	Cancer code, self-reported: breast cancer	http://www.nealelab.is/uk-biobank	P_5e-09	P<=5e-09	18	1.1e-21	1.338	1.261,  1.421	0.0197	0.138	0.583	0.567,  0.6	0.0433	15.9	1.86	1.15	2.99	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_20001-1002_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PHESANT)	20001_1002	Cancer code, self-reported: breast cancer	http://www.nealelab.is/uk-biobank	P_5e-08	P<=5e-08	22	2.3e-22	1.343	1.266,  1.426	0.0204	0.138	0.584	0.567,  0.601	0.0343	16.6	2.32	1.49	3.61	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_20001-1002_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PHESANT)	20001_1002	Cancer code, self-reported: breast cancer	http://www.nealelab.is/uk-biobank	P_5e-07	P<=5e-07	33	1.2e-22	1.348	1.27,  1.431	0.0204	0.138	0.584	0.568,  0.601	0.234	10.5	2.17	1.38	3.42	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_20001-1002_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PHESANT)	20001_1002	Cancer code, self-reported: breast cancer	http://www.nealelab.is/uk-biobank	P_5e-06	P<=5e-06	62	2.9e-21	1.338	1.259,  1.421	0.0191	0.138	0.581	0.564,  0.598	0.262	10.0	1.72	1.06	2.79	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_20001-1002_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PHESANT)	20001_1002	Cancer code, self-reported: breast cancer	http://www.nealelab.is/uk-biobank	P_5e-05	P<=5e-05	210	1.8e-18	1.311	1.234,  1.392	0.0156	0.138	0.575	0.558,  0.592	0.00869	20.5	1.53	0.92	2.55	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_20001-1002_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PHESANT)	20001_1002	Cancer code, self-reported: breast cancer	http://www.nealelab.is/uk-biobank	PRS-CS		1111495	1.3e-18	1.315	1.238,  1.398	0.0167	0.138	0.575	0.558,  0.592	0.442	7.91	1.6	0.981	2.62	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_20001-1002_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PHESANT)	20001_1002	Cancer code, self-reported: breast cancer	http://www.nealelab.is/uk-biobank	P&T	P<=6.31e-06	68	3.2e-21	1.338	1.26,  1.422	0.0188	0.138	0.581	0.564,  0.598	0.315	9.33	1.54	0.924	2.56	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_20001-1002_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PHESANT)	20001_1002	Cancer code, self-reported: breast cancer	http://www.nealelab.is/uk-biobank	Lassosum	s=0.5;Lambda=0.01438	30041	7.8e-22	1.349	1.269,  1.434	0.0196	0.138	0.584	0.568,  0.601	0.13	12.5	1.59	0.962	2.62	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_20001-1002_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (FINNGEN)	C3_BREAST_3	Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-09	P<=5e-09	21	3.3e-20	1.322	1.246,  1.403	0.0178	0.138	0.579	0.562,  0.595	0.133	12.4	2.38	1.54	3.69	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_C3-BREAST-3_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (FINNGEN)	C3_BREAST_3	Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-08	P<=5e-08	32	2e-24	1.365	1.286,  1.45	0.0218	0.138	0.588	0.571,  0.604	0.044	15.9	1.97	1.24	3.14	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_C3-BREAST-3_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (FINNGEN)	C3_BREAST_3	Malignant neoplasm of breast	http://www.nealelab.is/uk-biobank	P_5e-07	P<=5e-07	45	1.3e-23	1.36	1.281,  1.444	0.0207	0.138	0.586	0.569,  0.602	0.0347	16.6	2.22	1.43	3.46	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_C3-BREAST-3_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
