Phecode 	 Gwas Source 	 Gwas ID 	 Description	 GWAS URL  	.Method 	 Tuning Parameter 	 # SNPS  	 P-Value 	 OR  	 OR_CI  	 Psuedo-R2 	 Brier Score 	 AUC Estimate 	 AUC 95% CI 	 Hosmer-Lemeshow P  	  Hosmer-Lemeshow Chi-square 	 Odds Ratio Estimate 	 Odds Ratio ORCI1  	 Odds Ratio ORCI2 	 PRSweb 	 Nominal Significance 	 WARNING_REVERSED_EFFECT 	 Prswebprefix 	 Reference URl  
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-09	P<=5e-09	64	1.2e-146	1.411	1.375,  1.448	0.0213	0.0819	0.596	0.589,  0.604	0.796	4.64	2.44	2.04	2.92	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-09_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-08	P<=5e-08	86	3.9e-139	1.4	1.363,  1.437	0.0202	0.082	0.593	0.586,  0.601	0.515	7.2	2.58	2.16	3.07	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-08_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-07	P<=5e-07	93	1.7e-144	1.408	1.372,  1.446	0.021	0.0819	0.595	0.588,  0.602	0.175	11.5	2.58	2.16	3.08	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-07_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-06	P<=5e-06	102	6.3e-132	1.385	1.349,  1.422	0.0191	0.082	0.591	0.584,  0.598	0.676	5.74	2.26	1.88	2.72	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-06_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P_5e-05	P<=5e-05	105	2.3e-125	1.372	1.337,  1.409	0.0181	0.0821	0.588	0.581,  0.596	0.426	8.08	2.24	1.86	2.7	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_P_5e-05_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	GWAS Catalog (2019-05-03)	GWAS_Catalog_r2019-05-03_X174.1	Breast cancer;Breast cancer (estrogen-receptor negative);Breast Cancer in BRCA1 mutation carriers;Breast cancer in BRCA2 mutation carriers	https://www.ebi.ac.uk/gwas	P&T	P<=2.51e-08	79	5.7e-155	1.426	1.389,  1.464	0.0226	0.0819	0.599	0.592,  0.606	0.666	5.83	2.68	2.25	3.18	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_GWAS-Catalog-r2019-05-03-X174.1_PT_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=17529967+17529973+17529974+18326623+19330027+19330030+20453838+20852631+20872241+21263130+21424380+23354978+23535729+23535733+23544012+23544013+25751625+29058716+29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-09	P<=5e-09	31	1.3e-56	1.234	1.202,  1.266	0.00799	0.0825	0.558	0.551,  0.566	0.261	10.1	1.95	1.6	2.37	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-09_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-08	P<=5e-08	49	8.9e-63	1.248	1.216,  1.28	0.00891	0.0824	0.561	0.553,  0.568	0.0445	15.9	2.03	1.67	2.46	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-08_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-07	P<=5e-07	73	7.7e-61	1.244	1.212,  1.277	0.00865	0.0824	0.561	0.554,  0.569	0.13	12.5	1.76	1.44	2.16	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-07_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-06	P<=5e-06	133	2.5e-64	1.253	1.221,  1.286	0.00917	0.0824	0.562	0.554,  0.569	0.553	6.85	1.81	1.48	2.22	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-negative-BRCA_P_5e-06_UKB_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
