entity:sample_id	hg38_sampleMeanCoverage
BC-P-001-P1-B1_L_172936	1.29
BC-P-002-P1-C1_L_172937	1.12
BC-P-003-P1-D1_L_172938	1.18
BC-P-004-P1-E1_L_172939	1.33
BC-P-005-P1-F1_L_172940	1.4
BC-P-006-P1-G1_L_172941	1.38
BC-P-007-P1-A2_L_172943	1.36
BC-P-008-P1-B2_L_172944	1.16
BC-P-009-P1-C2_L_172945	1.32
BC-P-010-P1-D2_L_172946	1.37
BC-P-011-P1-E2_L_172947	1.33
BC-P-012-P1-F2_L_172948	1.39
BC-P-013-P1-G2_L_172949	1.38
BC-P-014-P1-H2_L_172950	1.25
BC-P-015-P1-B3_L_172952	1.35
BC-P-016-P1-C3_L_172953	0.92
BC-P-017-P1-D3_L_172954	1.42
BC-P-018-P1-E3_L_172955	1.33
BC-P-019-P1-F3_L_172956	1.36
BC-P-020-P1-G3_L_172957	1.03
BC-P-021-P1-H3_L_172958	1.22
BC-P-022-P1-A4_L_172959	1.35
BC-P-023-P1-B4_L_172960	1.19
BC-P-024-P1-C4_L_172961	1.28
BC-P-025-P1-D4_L_172962	1.22
BC-P-026-P1-E4_L_172963	1.3
BC-P-027-P1-F4_L_172964	1.42
BC-P-028-P1-G4_L_172965	1.25
BC-P-029-P1-H4_L_172966	1.27
BC-P-030-P1-B5_L_172968	1.28
BC-P-031-P1-C5_L_172969	1.34
BC-P-032-P1-D5_L_172970	1.33
BC-P-033-P1-E5_L_172971	1.15
BC-P-034-P1-F5_L_172972	1.35
BC-P-035-P1-G5_L_172973	1.45
BC-P-036-P1-H5_L_172974	1.35
BC-P-037-P1-A6_L_172975	1.31
BC-P-038-P1-B6_L_172976	1.3
BC-P-039-P1-C6_L_172977	1.45
BC-P-040-P1-D6_L_172978	1.35
BC-P-041-P1-E6_L_172979	1.4
BC-P-042-P1-F6_L_172980	1.41
BC-P-043-P1-G6_L_172981	1.37
BC-P-044-P1-H6_L_172982	1.4
BC-P-045-P1-B7_L_172984	1.31
